Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
One Punch Man,TV,12,Finished Airing,2015-10-5,2015-12-21,Fall,Mondays at 01:05 (JST),"TV Tokyo,Bandai Visual,Lantis,Asatsu DK,Banpresto,Good Smile Company,Shueisha,East Japan Marketing & Communications",Viz Media,Madhouse,Web manga,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural,Seinen",24 min. per ep.,R,8.73,675113,994888,30140,"The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, he trained relentlessly for three years—and lost all of his hair in the process. Now, Saitama is incredibly powerful, so much so that no enemy is able to defeat him in battle. In fact, all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored.

This all changes with the arrival of Genos, a 19-year-old cyborg, who wishes to be Saitama's disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society, and Saitama, shocked that no one knows who he is, quickly agrees. And thus begins the story of One Punch Man, an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe, he'll become popular in the process.

[Written by MAL Rewrite]"
Suzumiya Haruhi no Shoushitsu,Movie,1,Finished Airing,2010-2-6,-,-,-,"Kadokawa Shoten,Animation Do","Funimation,Bandai Entertainment",Kyoto Animation,Light novel,"Comedy,Mystery,Romance,School,Sci-Fi,Supernatural",2 hr. 42 min.,PG-13,8.73,177650,319467,8499,"One cold Christmas day, Kyon heads over to school and the SOS Brigade's holiday celebration, only to realize that Haruhi Suzumiya seems to have disappeared. Moreover, no one even remembers her or the SOS Brigade; Mikuru Asahina knows nothing and is now afraid of him, and Itsuki Koizumi has also gone missing. The Literature Club, formed only by an uncharacteristically shy Yuki Nagato, now occupies the old SOS club room.

Suzumiya Haruhi no Shoushitsu is based on the fourth light novel of the acclaimed Haruhi series and is set after the events of the anime series. Not uncultured in the supernatural, Kyon will have to deal with his whole life turned upside down like a bad joke, and maybe it's better that way.

[Written by MAL Rewrite]"
Natsume Yuujinchou Shi,TV,13,Finished Airing,2012-1-3,2012-3-27,Winter,Tuesdays at 01:30 (JST),"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha,Sony Music Entertainment","NIS America, Inc.",Brain's Base,Manga,"Slice of Life,Supernatural,Drama,Fantasy,Shoujo",24 min. per ep.,PG-13,8.72,61530,130966,1387,"Takashi Natsume, the timid youkai expert and master of the Book of Friends, continues his journey towards self-understanding and acceptance with the help of friends both new and old. His most important ally is still his gluttonous and sake-loving bodyguard, the arrogant but fiercely protective wolf spirit Madara—or Nyanko-sensei, as Madara is called when in his usual disguise of an unassuming, pudgy cat.

Natsume, while briefly separated from Nyanko-sensei, is ambushed and kidnapped by a strange group of masked, monkey-like youkai, who have spirited him away to their forest as they desperately search for the Book of Friends. Realizing that his ""servant"" has been taken out from right under his nose, Nyanko-sensei enlists the help of Natsume's youkai friends and mounts a rescue operation. However, the forest of the monkey spirits holds many dangerous enemies, including the Matoba Clan, Natsume's old nemesis.

Stretching from the formidable hideout of the Matoba to Natsume's own childhood home, Natsume Yuujinchou Shi is a sweeping but familiar return to a world of danger and friendship, where Natsume will finally confront the demons of his own past.

[Written by MAL Rewrite]"
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,Finished Airing,2015-5-16,-,-,-,"Aniplex,Kodansha,Delfi Sound",-,Artland,Manga,"Adventure,Fantasy,Historical,Mystery,Seinen,Slice of Life,Supernatural",47 min.,PG-13,8.71,21922,54408,123,"On a warm summer day, a boy heard the sound of bells ringing, as if in celebration, in the mountain near his home. Several years later in that same mountain, the mushishi Ginko encounters a strange girl with weeds growing out of her body. Soon after, Ginko coincidentally runs into the now grown-up boy Yoshiro on his way off the mountain. With Yoshiro’s help, Ginko soon begins to uncover who this mysterious girl is and what happened to her.

An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko’s peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home.

[Written by MAL Rewrite]"
Kizumonogatari II: Nekketsu-hen,Movie,1,Finished Airing,2016-8-19,-,-,-,"Aniplex,Kodansha",Aniplex of America,Shaft,Light novel,"Action,Mystery,Supernatural,Vampire",1 hr. 4 min.,R,8.7,69241,132506,744,"After reverting to human from half-vampire, Koyomi Araragi decides to retrieve Kiss-shot Acerola-orion Heart-under-blade's severed body parts that were stolen by three powerful vampire hunters. Awaiting him are Dramaturgie, a vampire hunter who is a vampire himself; Episode, a half-vampire with the ability to transform into mist; and Guillotinecutter, a human priest who is the most dangerous of them all.

Unbeknownst to Araragi, each minute he spends trying to retrieve Kiss-shot's limbs makes him less of a human and more of a vampire. Will he be able to keep his wish of becoming human once again by the end of his battles?

[Written by MAL Rewrite]"
Bakuman. 3rd Season,TV,25,Finished Airing,2012-10-6,2013-3-30,Fall,-,"NHK,Shueisha",-,J.C.Staff,Manga,"Comedy,Drama,Romance,Shounen",24 min. per ep.,PG-13,8.67,106543,180516,2061,"Onto their third serialization, manga duo Moritaka Mashiro and Akito Takagi—also known by their pen name, Muto Ashirogi—are ever closer to their dream of an anime adaption. However, the real challenge is only just beginning: if they are unable to compete with the artist Eiji Niizuma in the rankings within the span of six months, they will be cancelled. To top it off, numerous rivals are close behind and declaring war. They don't even have enough time to spare thinking about an anime!

In Bakuman. 3rd Season, Muto Ashirogi must find a way to stay atop the colossal mountain known as the Shounen Jack rankings. With new problems and new assistants, the pair continue to strive for their dream.

[Written by MAL Rewrite]"
Death Note,TV,37,Finished Airing,2006-10-4,2007-6-27,Fall,Wednesdays at 00:56 (JST),"VAP,Konami,Ashi Production,Nippon Television Network,Shueisha",Viz Media,Madhouse,Manga,"Mystery,Police,Psychological,Supernatural,Thriller,Shounen",23 min. per ep.,R,8.67,993775,1432871,87872,"A shinigami, as a god of death, can kill any person—provided they see their victim's face and write their victim's name in a notebook called a Death Note. One day, Ryuk, bored by the shinigami lifestyle and interested in seeing how a human would use a Death Note, drops one into the human realm.

High school student and prodigy Light Yagami stumbles upon the Death Note and—since he deplores the state of the world—tests the deadly notebook by writing a criminal's name in it. When the criminal dies immediately following his experiment with the Death Note, Light is greatly surprised and quickly recognizes how devastating the power that has fallen into his hands could be.            

With this divine capability, Light decides to extinguish all criminals in order to build a new world where crime does not exist and people worship him as a god. Police, however, quickly discover that a serial killer is targeting criminals and, consequently, try to apprehend the culprit. To do this, the Japanese investigators count on the assistance of the best detective in the world: a young and eccentric man known only by the name of L.

[Written by MAL Rewrite]"
Hajime no Ippo: Rising,TV,25,Finished Airing,2013-10-6,2014-3-29,Fall,Sundays at 01:35 (JST),"VAP,Kodansha,Nippon Television Network",-,"Madhouse,MAPPA",Manga,"Comedy,Sports,Drama,Shounen",22 min. per ep.,PG-13,8.67,58403,101167,639,"Japanese Featherweight Champion Makunouchi Ippo has defended his title belt once more with the help of his devastating signature move: the Dempsey Roll. However, new challengers are rising up left and right, claiming to have an answer for the move responsible for crushing his opponents. Will Ippo be able to step up to the challenge, or will the weight of his pride destroy him before he finds out just what it means to be strong? Meanwhile, fellow Kamogawa Gym mate Aoki Masaru is just a hop, skip, and a Frog Punch away from claiming his own belt, ready to take on the Japanese Lightweight Champion!

Hajime no Ippo: Rising continues Ippo's quest to become stronger, featuring the same cast of loveable dimwits from Kamogawa Gym, as they put their bodies and hearts on the line to make their way in the harsh world of professional boxing. With a will of iron, Ippo steps into the ring once again.

[Written by MAL Rewrite]"
Saiki Kusuo no Ψ-nan (TV) 2,TV,24,Currently Airing,2018-1-17,-,Winter,Wednesdays at 01:35 (JST),"TV Tokyo,Shogakukan Productions,Nippon Columbia,KlockWorx,Asmik Ace Entertainment,Bandai Namco Entertainment,Shueisha,Toy's Factory,Dear Stage inc.",-,"J.C.Staff,Egg Firm",Manga,"Slice of Life,Comedy,Supernatural,School,Shounen",24 min. per ep.,PG-13,8.67,11176,53301,372,Sequel to Saiki Kusuo no Ψ-nan (TV).
Ansatsu Kyoushitsu 2nd Season,TV,25,Finished Airing,2016-1-8,2016-7-1,Winter,Fridays at 01:25 (JST),"Dentsu,Fuji TV,DAX Production,Avex Pictures,Shueisha,Kansai Telecasting",Funimation,Lerche,Manga,"Action,Comedy,School,Shounen",23 min. per ep.,PG-13,8.66,207074,369455,6549,"The students return as school is back in session for the second semester. Following their exploits on the island during summer vacation, Class 3-E continues to sharpen their blades with their sights set on their teacher, the slippery Koro-sensei. They have more to worry about than just their teacher, however, as enemy assassins, both old and new, are out for the increased bounty on the octopus' head.

Moreover, their rivals in Class A, as well as Kunugigaoka Junior High's fearsome principal, stand to block Class E from achieving academic excellence. With all of these obstacles opposing them, the group must continue to work together in order to overcome their foes and accomplish their goal of successfully assassinating their teacher.

[Written by MAL Rewrite]"
Fate/Zero 2nd Season,TV,12,Finished Airing,2012-4-8,2012-6-24,Spring,Sundays at 00:00 (JST),"Aniplex,Nitroplus,Seikaisha,Notes",Aniplex of America,ufotable,Novel,"Action,Supernatural,Magic,Fantasy",24 min. per ep.,R,8.66,308831,492593,10880,"As the Fourth Holy Grail War rages on with no clear victor in sight, the remaining Servants and their Masters are called upon by Church supervisor Risei Kotomine, in order to band together and confront an impending threat that could unravel the Grail War and bring about the destruction of Fuyuki City. The uneasy truce soon collapses as Masters demonstrate that they will do anything in their power, no matter how despicable, to win.

Seeds of doubt are sown between Kiritsugu Emiya and Saber, his Servant, as their conflicting ideologies on heroism and chivalry clash. Meanwhile, an ominous bond forms between Kirei Kotomine, who still seeks to find his purpose in life, and one of the remaining Servants. As the countdown to the end of the war reaches zero, the cost of winning begins to blur the line between victory and defeat.

[Written by MAL Rewrite]"
Haikyuu!!,TV,25,Finished Airing,2014-4-6,2014-9-21,Spring,Sundays at 17:00 (JST),"Mainichi Broadcasting System,TOHO animation,Shueisha",Sentai Filmworks,Production I.G,Manga,"Comedy,Drama,School,Shounen,Sports",24 min. per ep.,PG-13,8.66,272976,473577,23414,"Inspired after watching a volleyball ace nicknamed ""Little Giant"" in action, small-statured Shouyou Hinata revives the volleyball club at his middle school. The newly-formed team even makes it to a tournament; however, their first match turns out to be their last when they are brutally squashed by the ""King of the Court,"" Tobio Kageyama. Hinata vows to surpass Kageyama, and so after graduating from middle school, he joins Karasuno High School's volleyball team—only to find that his sworn rival, Kageyama, is now his teammate.

Thanks to his short height, Hinata struggles to find his role on the team, even with his superior jumping power. Surprisingly, Kageyama has his own problems that only Hinata can help with, and learning to work together appears to be the only way for the team to be successful. Based on Haruichi Furudate's popular shounen manga of the same name, Haikyuu!! is an exhilarating and emotional sports comedy following two determined athletes as they attempt to patch a heated rivalry in order to make their high school volleyball team the best in Japan.

[Written by MAL Rewrite]"
Pingu in the City,TV,26,Finished Airing,2017-10-7,2018-3-31,Fall,Saturdays at 09:20 (JST),NHK,-,Polygon Pictures,Other,"Slice of Life,Comedy,Kids",7 min. per ep.,G,8.66,5977,21226,619,"Pingu and his family move from their small village to the big city; in which there are many people with many different occupations. The ever-curious Pingu tries to join them at their jobs, but his mischievous side gets the better of him and he ends up messing things up.

(Source: ANN)"
Natsume Yuujinchou San,TV,13,Finished Airing,2011-7-5,2011-9-27,Summer,Tuesdays at 01:30 (JST),"Aniplex,Sakura Create","NIS America, Inc.",Brain's Base,Manga,"Drama,Fantasy,Shoujo,Slice of Life,Supernatural",24 min. per ep.,PG-13,8.65,68203,137602,973,"Natsume Yuujinchou San follows Takashi Natsume, a boy who is able to see youkai. Natsume and his bodyguard Madara, nicknamed Nyanko-sensei, continue on their quest to release youkai from their contracts in the ""Book of Friends.""

Natsume comes to terms with his ability to see youkai and stops thinking of it as a curse. As he spends more time with his human and youkai friends, he realizes how much he values them both and decides he doesn't have to choose between the spirit and human worlds to be happy.

[Written by MAL Rewrite]"
Ping Pong The Animation,TV,11,Finished Airing,2014-4-11,2014-6-20,Spring,Fridays at 00:50 (JST),"Aniplex,Dentsu,Fuji TV,Kyoraku Industrial Holdings",Funimation,Tatsunoko Production,Manga,"Sports,Psychological,Drama,Seinen",23 min. per ep.,PG-13,8.65,71878,144440,6965,"""The hero comes. The hero comes. The hero comes. Chant these words in your mind, and I'll surely come to you..."" This mantra is what Makoto Tsukimoto repeats as a source of motivation when he fights through the stress of not only grueling ping pong matches, but also in situations of his life. Makoto doesn't fight alone; he and his friend, Yukata Hoshino, nicknamed Smile and Peco respectively, are two boys who have grown up playing ping pong together nearly every day. Peco, brimming with confidence, aims to be the best table tennis player in the world; Smile, on the other hand, shows little ambition. Nevertheless, the two have always stuck together, with a bond built upon their mutual love for this sport.

Every year, students from all across Japan gather for the inter-high table tennis competition to achieve national and international stardom. Through intense training and competition, only the very best persevere.

From the avant-garde director of Tatami Galaxy, Masaaki Yuasa, Ping Pong The Animation serves a tale of ambition with its fair share of bumps along the way. Whatever the odds, Peco and Smile will face them together.

[Written by MAL Rewrite]"
Sora yori mo Tooi Basho,TV,13,Finished Airing,2018-1-2,2018-3-27,Winter,Tuesdays at 20:30 (JST),"Media Factory,Movic,AT-X,Sony Music Communications,Docomo Anime Store,Kadokawa Media House,Kadokawa,NewGin,Crunchyroll SC Anime Fund",-,Madhouse,Original,"Slice of Life,Adventure",23 min. per ep.,PG-13,8.65,35256,98573,2008,"Filled with an overwhelming sense of wonder for the world around her, Mari Tamaki has always dreamt of what lies beyond the reaches of the universe. However, despite harboring such large aspirations on the inside, her fear of the unknown and anxiety over her own possible limitations have always held her back from chasing them. But now, in her second year of high school, Mari is more determined than ever to not let any more of her youth go to waste. Still, her fear continues to prevent her from taking that ambitious step forward—that is, until she has a chance encounter with a girl who has grand dreams of her own.

Spurred by her mother's disappearance, Shirase Kobuchizawa has been working hard to fund her trip to Antarctica. Despite facing doubt and ridicule from virtually everyone, Shirase is determined to embark on this expedition to search for her mother in a place further than the universe itself. Inspired by Shirase's resolve, Mari jumps at the chance to join her. Soon, their efforts attract the attention of the bubbly Hinata Miyake, who is eager to stand out, and Yuzuki Shiraishi, a polite girl from a high class background. Together, they set sail toward the frozen south.

Sora yori mo Tooi Basho follows the captivating journey of four spirited girls, all in search of something great.

[Written by MAL Rewrite]"
Yojouhan Shinwa Taikei,TV,11,Finished Airing,2010-4-23,2010-7-2,Spring,Fridays at 00:45 (JST),"Dentsu,Kadokawa Shoten,Fuji TV,Toho,Asmik Ace Entertainment,Tohokushinsha Film Corporation,Sony Music Entertainment,Fuji Pacific Music Publishing",Funimation,Madhouse,Novel,"Mystery,Comedy,Psychological,Romance",23 min. per ep.,R,8.65,59567,180689,9301,"One autumn evening at a mysterious ramen stand behind the Shimogamo Shrine, a lonely third-year college student bumps into a man with an eggplant-shaped head who calls himself a god of matrimony. Meeting this man causes the student to reflect upon his past two years at college—two years bitterly spent trying to break up couples on campus with his only friend Ozu, a ghoulish-looking man seemingly set on making his life as miserable as possible. Resolving to make the most out of the rest of his college life, the student attempts to ask out the unsociable but kind-hearted underclassman Akashi, yet fails to follow through, prompting him to regret not living out his college life differently. As soon as this thought passes through his head, however, he is hurtled through time and space to the beginning of his years at college and given another chance to live his life.

Surreal, artistic, and mind-bending, Yojouhan Shinwa Taikei chronicles the misadventures of a young man on a journey to make friends, find love, and experience the rose-colored campus life he always dreamed of.

[Written by MAL Rewrite]"
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,Finished Airing,2016-4-2,2016-12-24,Spring,Saturdays at 00:30 (JST),"Warner Bros.,KlockWorx,Medicos Entertainment,Shueisha",Viz Media,David Production,Manga,"Action,Adventure,Comedy,Supernatural,Drama,Shounen",23 min. per ep.,R,8.64,96615,176448,6981,"The year is 1999. Morioh, a normally quiet and peaceful town, has recently become a hotbed of strange activity. Joutarou Kuujou, now a marine biologist, heads to the mysterious town to meet Jousuke Higashikata. While the two may seem like strangers at first, Jousuke is actually the illegitimate child of Joutarou's grandfather, Joseph Joestar. When they meet, Joutarou realizes that he may have more in common with Jousuke than just a blood relation.

Along with the mild-mannered Kouichi Hirose and the boisterous Okuyasu Nijimura, the group dedicates themselves to investigating recent disappearances and other suspicious occurrences within Morioh. Aided by the power of Stands, the four men will encounter danger at every street corner, as it is up to them to unravel the town's secrets, before another occurs.

[Written by MAL Rewrite]"
Mushishi Special: Hihamukage,Special,1,Finished Airing,2014-1-4,-,-,-," Aniplex,Kodansha,Delfi Sound",-,Artland,Manga," Adventure,Slice of Life,Mystery,Historical,Supernatural,Fantasy,Seinen",45 min.,PG-13,8.64,35673,66879,101,"The entire countryside comes to a halt midday to witness a rare solar eclipse that is rumored to allow the average person to see Mushi. Unable to avert their gaze, the air is full of awe and wonder—but those who know the Mushi are preparing for the eclipse's aftermath.

Based on a prediction from Tanyuu Karibusa, the cursed recorder, Mushishi Ginko finds himself in a very unlucky farming village. Immediately following the solar eclipse, a strange black cloud begins to gather in the sky and blocks the sun once more. Suspecting it to be the work of a Mushi known as Hihami, Ginko seeks to liberate the village from perpetual darkness. However, it seems that not all of the villagers are eager to return to the light.

[Written by MAL Rewrite]"
Natsume Yuujinchou Go,TV,11,Finished Airing,2016-10-5,2016-12-21,Fall,Wednesdays at 01:35 (JST),"TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha",-,Shuka,Manga,"Slice of Life,Supernatural,Drama,Fantasy,Shoujo",23 min. per ep.,PG-13,8.64,30968,79095,453,Season 5 of Natsume Yuujinchou.
Kara no Kyoukai 5: Mujun Rasen,Movie,1,Finished Airing,2008-8-16,-,-,-,Notes,Aniplex of America,ufotable,Light novel,"Action,Mystery,Supernatural,Drama,Romance,Thriller",1 hr. 54 min.,R,8.63,78064,138255,2973,"In November 1998, a double homicide occurs at the newly constructed Ogawa apartment complex in the heart of Mifune City. The murderer, Tomoe Enjou, has fled in a panic. To his astonishment, he is not pursued by the police and news of the incident has not been reported through media outlets. After Shiki Ryougi defends Tomoe from a group of thugs, she allows him to use her residence as a hideout. However, a few days later, Tomoe is shaken to discover that his mother is alive, even though he is convinced that he killed her.

Coincidentally, Mikiya Kokutou is investigating a tip that his associate Touko Aozaki receives regarding the murder at the unique apartment complex. As he uncovers more information about the incident, Mikiya takes a particular interest in Tomoe. Deciding to investigate him further, Mikiya soon discovers the disturbing truth of the foreboding Ogawa complex.

The fifth installment of the Kara no Kyoukai film series, Mujun Rasen combines an intricately constructed mystery with established themes and characters to produce a dark, thought-provoking story.

[Written by MAL Rewrite]"
Shouwa Genroku Rakugo Shinjuu,TV,13,Finished Airing,2016-1-9,2016-4-2,Winter,Saturdays at 02:25 (JST),"Starchild Records,Mainichi Broadcasting System,Kodansha,DAX Production",-,Studio Deen,Manga,"Drama,Historical,Josei",26 min. per ep.,PG-13,8.63,46836,139271,3226,"Yotarou is a former yakuza member fresh out of prison and fixated on just one thing: rather than return to a life of crime, the young man aspires to take to the stage of Rakugo, a traditional Japanese form of comedic storytelling. Inspired during his incarceration by the performance of distinguished practitioner Yakumo Yuurakutei, he sets his mind on meeting the man who changed his life. After hearing Yotarou's desperate appeal for his mentorship, Yakumo is left with no choice but to accept his very first apprentice.

As he eagerly begins his training, Yotarou meets Konatsu, an abrasive young woman who has been under Yakumo's care ever since her beloved father Sukeroku Yuurakutei, another prolific Rakugo performer, passed away. Through her hidden passion, Yotarou is drawn to Sukeroku's unique style of Rakugo despite learning under contrasting techniques. Upon seeing this, old memories and feelings return to Yakumo who reminisces about a much earlier time when he made a promise with his greatest rival.

Shouwa Genroku Rakugo Shinjuu is a story set in both the past and present, depicting the art of Rakugo, the relationships it creates, and the lives and hearts of those dedicated to keeping the unique form of storytelling alive.

[Written by MAL Rewrite]"
Zoku Natsume Yuujinchou,TV,13,Finished Airing,2009-1-6,2009-3-31,Winter,Tuesdays at 01:00 (JST),"Aniplex,Nihon Ad Systems","NIS America, Inc.",Brain's Base,Manga,"Drama,Fantasy,Shoujo,Slice of Life,Supernatural",24 min. per ep.,PG-13,8.62,76893,145985,1206,"As with its prequel, Zoku Natsume Yuujinchou is about Takashi Natsume, a boy who has had the ability to see youkai since he was young, and his bodyguard youkai Madara, nicknamed Nyanko-sensei. Natsume attempts to return names written in his ""Book of Friends"" (which he inherited from his grandmother Reiko) to youkai in his village. Throughout these adventures, he meets some youkai that are friendly, some that want to steal the Book, and some that want to kill him, as Natsume learns about himself and his relationship with these mysterious beings along the way.

[Written by MAL Rewrite]"
Ashita no Joe 2,TV,47,Finished Airing,1980-10-13,1981-8-31,Fall,-,Annapuru,-,Tokyo Movie Shinsha,Manga,"Action,Drama,Shounen,Slice of Life,Sports",24 min. per ep.,PG-13,8.6,4127,11867,518,"Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering. On his travels he comes across the likes of Wolf Kanagushi and Goromaki Gondo, men who unintentionally fan the dying embers inside him, leading him to putting his wanderings to an end. His return home puts Joe back on the path to boxing, but unknown to himself and his trainer, he now suffers deep-set issues holding him back from fighting. In attempt to quell those issues, Carlos Rivera, a world renowned boxer is invited from Venezuela to help Joe recover."
Aria The Origination,TV,13,Finished Airing,2008-1-8,2008-4-1,Winter,Tuesdays at 02:00 (JST),"TV Tokyo,Shochiku,Mag Garden",Nozomi Entertainment,Hal Film Maker,Manga,"Fantasy,Sci-Fi,Shounen,Slice of Life",24 min. per ep.,G,8.59,17893,70380,2972,"In the 24th century on the planet Aqua, three girls—Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta—continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia—Alicia Florence, Athena Glory, and Akira E. Ferrari—who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in.

Aria The Origination follows the hardships and daily lives of these three young girls, who are doing their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice.

[Written by MAL Rewrite]"
Gintama.: Porori-hen,TV,13,Finished Airing,2017-10-2,2017-12-25,Fall,Mondays at 01:35 (JST),"TV Tokyo,Aniplex,Dentsu,Shueisha",-,Bandai Namco Pictures,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",23 min. per ep.,PG-13,8.59,22015,51931,445,Sixth season of Gintama.
Rainbow: Nisha Rokubou no Shichinin,TV,26,Finished Airing,2010-4-7,2010-9-29,Spring,-,"VAP,Nippon Television Network",Funimation,Madhouse,Manga,"Drama,Historical,Seinen,Thriller",22 min. per ep.,R,8.59,77292,193900,5154,"Japan, 1955: Mario Minakami has just arrived at Shounan Special Reform School along with five other teenagers who have been arrested on serious criminal charges. All assigned to the same cell, they meet older inmate Rokurouta Sakuragi—a former boxer—with whom they establish a close bond. Under his guidance, and with the promise that they will meet again on the outside after serving their sentences, the delinquents begin to view their hopeless situation in a better light.

Rainbow: Nisha Rokubou no Shichinin follows the seven cellmates as they struggle together against the brutal suffering and humiliation inflicted upon them by Ishihara, a sadistic guard with a grudge on Rokurouta, and Gisuke Sasaki, a doctor who takes pleasure in violating boys. Facing such hellish conditions, the seven inmates must scrape together all the strength they have to survive until their sentences are up; but even if they do, just what kind of lives are waiting for them on the other side?

[Written by MAL Rewrite] "
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,Finished Airing,2013-4-20,-,-,-,"Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,MAGES.",Funimation,White Fox,Visual novel,"Sci-Fi,Drama",1 hr. 30 min.,PG-13,8.58,163175,276648,1347,"After a year in America, Kurisu Makise returns to Akihabara and reunites with Rintarou Okabe. However, their reunion is cut short when Okabe begins to experience recurring flashes of other timelines as the consequences of his time traveling start to manifest. These side effects eventually culminate in Okabe suddenly vanishing from the world, and only the startled Kurisu has any memory of his existence.

In the midst of despair, Kurisu is faced with a truly arduous choice that will test both her duty as a scientist and her loyalty as a friend: follow Okabe's advice and stay away from traveling through time to avoid the potential consequences it may have on the world lines, or ignore it to rescue the person that she cherishes most. Regardless of her decision, the path she chooses is one that will affect the past, the present, and the future.

[Written by MAL Rewrite]"
Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,Finished Airing,2010-4-24,-,-,-,"TV Tokyo,Aniplex,Dentsu,Bandai,Warner Bros.,Shueisha",Sentai Filmworks,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",1 hr. 35 min.,R,8.57,41905,71355,323,"Gintoki and his Yorozuya friends (or rather, employees suffering under labor violations), Shinpachi and Kagura, continue to scrape by in the futuristic, alien-infested city of Edo. They take on whatever work they can find while trying not to get involved in anything too dangerous. But when Katsura, the leader of the Joui rebels and Gintoki's long-time acquaintance, disappears after being brutally attacked by an unknown assassin, Shinpachi and Kagura begin an investigation into his whereabouts and the identity of the assailant. Meanwhile, Gintoki takes on a seemingly unrelated job: the blacksmith Tetsuya requests that Gin recover a strange and powerful sword called the Benizakura which was recently stolen.

As the two investigations gradually intersect, the Yorozuya crew find themselves in the midst of a major conspiracy that hinges on the sinister nature of the Benizakura sword. Gintoki resolves to take the fight directly to the enemy headquarters, and together with a few unexpected allies, sets out on one of his most perilous jobs yet.

[Written by MAL Rewrite]"
Violet Evergarden,TV,13,Finished Airing,2018-1-11,2018-4-5,Winter,Thursdays at 00:00 (JST),"Lantis,Pony Canyon,Rakuonsha,ABC Animation",-,Kyoto Animation,Light novel,"Slice of Life,Drama,Fantasy",23 min. per ep.,PG-13,8.57,88787,322653,4963,"The Great War finally came to an end after four long years of conflict; fractured in two, the continent of Telesis slowly began to flourish once again. Caught up in the bloodshed was Violet Evergarden, a young girl raised for the sole purpose of decimating enemy lines. Hospitalized and maimed in a bloody skirmish during the War's final leg, she was left with only words from the person she held dearest, but with no understanding of their meaning.

Recovering from her wounds, Violet starts a new life working at CH Postal Services after a falling out with her new intended guardian family. There, she witnesses by pure chance the work of an ""Auto Memory Doll,"" amanuenses that transcribe people's thoughts and feelings into words on paper. Moved by the notion, Violet begins work as an Auto Memory Doll, a trade that will take her on an adventure, one that will reshape the lives of her clients and hopefully lead to self-discovery.

[Written by MAL Rewrite]"
